timeToHit,endTime,lane
1,4,2
5,5,3
6,7,1
7,8,2
8,9,3
9,10,0
10,11,1
11,12,0
12,13,3
11,11,2
11,11,3
16.950566893424035,16.950566893424035,2
18.22766439909297,18.22766439909297,1
18.36698412698413,18.36698412698413,0
18.64562358276644,18.64562358276644,3
19.922721088435374,19.922721088435374,2
20.131700680272107,20.131700680272107,1
20.340680272108845,20.340680272108845,0
21.59455782312925,21.59455782312925,3
21.757097505668934,21.757097505668934,2
22.035736961451246,22.035736961451246,1
23.289614512471655,23.289614512471655,0
23.73079365079365,23.73079365079365,3
24.98467120181406,24.98467120181406,2
25.123990929705215,25.123990929705215,1
25.425850340136055,25.425850340136055,0
26.679727891156464,26.679727891156464,3
26.865487528344673,26.865487528344673,2
27.09768707482993,27.09768707482993,1
28.374784580498865,28.374784580498865,0
28.792743764172336,28.792743764172336,3
29.628662131519274,29.628662131519274,2
29.791201814058958,29.791201814058958,1
30.046621315192745,30.046621315192745,0
30.48780045351474,30.48780045351474,3
31.60235827664399,31.60235827664399,2
32.15963718820862,32.15963718820862,1
33.29741496598639,33.29741496598639,0
33.85469387755102,33.85469387755102,3
34.9924716553288,34.9924716553288,2
35.54975056689342,35.54975056689342,1
36.664308390022676,36.664308390022676,0
37.24480725623583,37.24480725623583,3
38.35936507936508,38.35936507936508,2
38.91664399092971,38.91664399092971,1
40.054421768707485,40.054421768707485,0
40.61170068027211,40.61170068027211,3
41.749478458049886,41.749478458049886,2
42.30675736961451,42.30675736961451,1
43.44453514739229,43.44453514739229,0
44.00181405895692,44.00181405895692,3
45.11637188208617,45.11637188208617,2
45.69687074829932,45.69687074829932,1
46.81142857142857,46.81142857142857,0
47.368707482993194,47.368707482993194,3
48.50648526077097,48.50648526077097,2
49.0637641723356,49.0637641723356,1
50.20154195011338,50.20154195011338,0
50.758820861678004,50.758820861678004,3
51.89659863945578,51.89659863945578,2
52.453877551020405,52.453877551020405,1
53.56843537414966,53.56843537414966,0
54.14893424036281,54.14893424036281,3
55.263492063492066,55.263492063492066,2
55.82077097505669,55.82077097505669,1
56.26195011337869,56.26195011337869,0
56.95854875283447,56.95854875283447,3
57.51582766439909,57.51582766439909,2
58.07310657596372,58.07310657596372,1
58.49106575963719,58.49106575963719,0
59.187664399092974,59.187664399092974,3
59.7449433106576,59.7449433106576,2
60.162902494331064,60.162902494331064,1
60.85950113378685,60.85950113378685,0
61.13814058956916,61.13814058956916,3
61.30068027210884,61.30068027210884,2
61.718639455782316,61.718639455782316,1
61.9740589569161,61.9740589569161,0
62.531337868480726,62.531337868480726,3
62.80997732426304,62.80997732426304,2
63.227936507936505,63.227936507936505,1
64.2031746031746,64.2031746031746,0
64.6443537414966,64.6443537414966,3
65.89823129251701,65.89823129251701,2
66.339410430839,66.339410430839,1
67.5932879818594,67.5932879818594,0
67.73260770975057,67.73260770975057,3
68.28988662131519,68.28988662131519,2
68.73106575963719,68.73106575963719,1
69.14902494331066,69.14902494331066,0
70.98340136054422,70.98340136054422,3
72.67845804988661,72.67845804988661,2
74.37351473922902,74.37351473922902,1
76.0453514739229,76.0453514739229,0
77.71718820861678,77.71718820861678,3
79.38902494331066,79.38902494331066,2
81.06086167800453,81.06086167800453,1
82.75591836734694,82.75591836734694,0
84.45097505668934,84.45097505668934,3
86.14603174603175,86.14603174603175,2
87.84108843537415,87.84108843537415,1
89.53614512471655,89.53614512471655,0
