timeToHit,endTime,lane
3.436553,3.436553,1
4.295691,4.295691,2
4.690431,4.690431,1
5.13161,5.13161,2
5.967528,5.967528,2
6.408708,6.408708,2
6.826667,6.826667,1
7.662585,7.662585,1
8.080544,8.080544,0
8.521724,8.521724,1
8.939683,8.939683,0
9.357642,9.357642,2
10.19356,10.19356,3
11.0527,11.0527,2
11.44744,11.44744,1
11.88862,11.88862,3
12.3298,12.3298,2
12.72453,12.72453,2
13.58367,13.58367,2
14.83755,14.83755,1
15.27873,15.27873,0
15.69669,15.69669,2
16.11465,16.11465,2
16.95057,16.95057,2
17.80971,17.80971,2
18.22766,18.22766,3
19.0868,19.0868,1
19.48154,19.48154,0
20.34068,20.34068,3
21.59456,21.59456,0
22.87165,22.87165,1
23.70757,23.70757,2
24.56671,24.56671,3
24.98467,24.98467,3
26.23855,26.23855,1
27.09769,27.09769,3
28.35156,28.35156,1
29.62866,29.62866,3
29.76798,29.76798,0
29.93052,29.93052,1
30.32526,30.32526,2
30.62712,30.62712,2
30.76644,30.76644,0
30.90576,30.90576,0
31.1844,31.1844,2
31.60236,31.60236,1
31.74168,31.74168,1
32.15964,32.15964,3
32.43828,32.43828,1
32.87946,32.87946,3
33.1581,33.1581,2
33.32064,33.32064,0
33.43673,33.43673,1
33.71537,33.71537,3
34.15656,34.15656,3
34.29587,34.29587,0
34.55129,34.55129,0
34.99247,34.99247,1
35.13179,35.13179,3
35.41043,35.41043,1
35.54975,35.54975,0
35.85161,35.85161,0
35.99093,35.99093,0
36.24635,36.24635,0
36.54821,36.54821,2
36.68753,36.68753,3
36.82685,36.82685,3
37.10549,37.10549,1
37.52345,37.52345,3
37.66277,37.66277,2
37.94141,37.94141,0
38.49868,38.49868,3
38.91665,38.91665,2
39.2185,39.2185,0
39.35782,39.35782,3
39.63646,39.63646,0
40.05442,40.05442,3
40.19374,40.19374,0
40.6117,40.6117,3
40.91356,40.91356,1
41.05288,41.05288,3
41.3083,41.3083,0
41.74948,41.74948,0
41.8888,41.8888,3
42.16744,42.16744,2
42.5854,42.5854,2
42.74794,42.74794,3
43.00336,43.00336,0
43.44453,43.44453,2
43.8625,43.8625,0
44.14113,44.14113,2
44.28045,44.28045,3
44.41977,44.41977,3
44.69841,44.69841,1
45.11637,45.11637,0
45.27891,45.27891,2
45.67365,45.67365,3
46.11483,46.11483,3
46.39347,46.39347,1
46.55601,46.55601,1
46.67211,46.67211,2
46.83465,46.83465,1
46.97397,46.97397,3
47.25261,47.25261,3
47.67057,47.67057,3
47.80989,47.80989,0
48.06531,48.06531,2
48.50648,48.50648,2
48.64581,48.64581,2
49.06376,49.06376,1
49.50494,49.50494,3
49.76036,49.76036,1
50.06222,50.06222,1
50.20154,50.20154,1
50.34086,50.34086,2
51.03746,51.03746,3
51.17678,51.17678,1
51.45542,51.45542,2
52.03592,52.03592,0
52.45388,52.45388,2
52.73252,52.73252,0
53.15047,53.15047,1
53.56844,53.56844,2
53.70776,53.70776,3
54.00961,54.00961,1
54.14893,54.14893,3
54.42757,54.42757,1
54.56689,54.56689,2
54.84553,54.84553,1
55.26349,55.26349,1
55.42603,55.42603,0
55.68145,55.68145,1
56.12263,56.12263,1
56.26195,56.26195,1
56.67991,56.67991,2
56.81923,56.81923,0
56.95855,56.95855,3
57.09787,57.09787,0
57.37651,57.37651,2
58.76971,58.76971,2
59.18766,59.18766,2
60.02358,60.02358,2
60.8595,60.8595,3
61.69542,61.69542,0
62.09016,62.09016,3
62.53134,62.53134,1
62.9493,62.9493,3
63.34404,63.34404,3
64.20318,64.20318,0
65.06231,65.06231,3
65.45705,65.45705,1
65.89823,65.89823,1
66.31619,66.31619,2
66.73415,66.73415,2
67.17533,67.17533,1
67.57007,67.57007,0
68.31311,68.31311,0
68.49886,68.49886,0
68.70785,68.70785,0
69.14902,69.14902,2
69.49732,69.49732,2
69.70631,69.70631,3
70.00816,70.00816,0
70.24036,70.24036,3
70.61189,70.61189,1
71.12272,71.12272,2
71.28526,71.28526,1
71.40136,71.40136,2
71.68,71.68,1
72.12118,72.12118,3
72.2605,72.2605,2
72.67846,72.67846,2
72.9571,72.9571,0
73.37505,73.37505,3
73.67692,73.67692,2
73.83945,73.83945,3
73.95556,73.95556,1
74.25742,74.25742,0
74.67538,74.67538,2
74.79147,74.79147,0
75.07011,75.07011,2
75.48808,75.48808,1
75.6274,75.6274,0
75.90603,75.90603,0
76.04535,76.04535,3
76.34721,76.34721,3
76.48653,76.48653,3
76.74195,76.74195,0
77.02059,77.02059,3
77.18313,77.18313,2
77.29923,77.29923,2
77.57787,77.57787,2
78.01905,78.01905,1
78.15837,78.15837,1
78.41379,78.41379,3
78.97107,78.97107,1
79.38902,79.38902,0
79.66766,79.66766,2
79.83021,79.83021,1
80.08562,80.08562,0
80.50359,80.50359,3
80.64291,80.64291,1
81.06086,81.06086,2
81.36272,81.36272,3
81.50204,81.50204,2
81.75746,81.75746,3
82.19864,82.19864,1
82.33796,82.33796,3
82.6166,82.6166,3
83.03456,83.03456,0
83.1971,83.1971,0
83.45251,83.45251,3
83.8937,83.8937,2
84.31165,84.31165,3
84.75284,84.75284,3
84.86893,84.86893,3
85.14758,85.14758,0
85.72807,85.72807,1
86.14603,86.14603,3
86.42467,86.42467,2
86.84263,86.84263,3
87.28381,87.28381,3
87.42313,87.42313,3
87.70177,87.70177,3
87.84109,87.84109,0
88.14294,88.14294,0
88.25905,88.25905,1
88.53769,88.53769,2
88.97887,88.97887,0
89.39683,89.39683,1
89.53615,89.53615,3
89.83801,89.83801,2
89.97733,89.97733,1
90.37206,90.37206,2
90.53461,90.53461,0
90.67392,90.67392,2
90.95256,90.95256,1
91.09188,91.09188,3
91.25443,91.25443,0
92.5083,92.5083,2
93.34422,93.34422,0
94.18014,94.18014,2
94.96961,94.96961,3
95.75909,95.75909,1
96.59501,96.59501,0
97.50059,97.50059,2
