timeToHit,endTime,lane
3.274014,3.274014,0
3.436553,3.436553,1
3.715193,3.715193,0
3.854512,3.854512,0
4.109932,4.109932,3
4.527891,4.527891,0
4.96907,4.96907,2
5.410249,5.410249,1
5.572789,5.572789,2
5.828208,5.828208,0
5.967528,5.967528,2
6.222948,6.222948,1
6.385488,6.385488,1
6.687347,6.687347,2
6.826667,6.826667,2
7.082086,7.082086,2
7.244626,7.244626,0
7.500045,7.500045,2
7.918005,7.918005,1
8.335963,8.335963,2
8.800363,8.800363,1
8.916463,8.916463,0
9.171882,9.171882,1
9.357642,9.357642,0
9.613061,9.613061,0
10.10068,10.10068,0
10.19356,10.19356,1
10.4722,10.4722,1
10.61152,10.61152,0
10.86694,10.86694,3
11.2849,11.2849,2
11.72608,11.72608,1
12.16726,12.16726,2
12.30658,12.30658,3
12.58522,12.58522,0
12.72453,12.72453,3
13.00317,13.00317,1
13.14249,13.14249,0
13.42113,13.42113,3
13.56045,13.56045,2
13.86231,13.86231,3
14.00163,14.00163,3
14.25705,14.25705,0
14.67501,14.67501,3
15.09297,15.09297,3
15.95211,15.95211,1
16.11465,16.11465,1
16.37007,16.37007,2
16.53261,16.53261,2
16.78803,16.78803,3
16.95057,16.95057,2
17.36853,17.36853,3
17.64717,17.64717,0
18.06512,18.06512,3
18.22766,18.22766,2
18.48308,18.48308,1
18.64562,18.64562,3
18.92426,18.92426,1
19.06358,19.06358,2
19.50476,19.50476,1
19.76018,19.76018,2
19.8995,19.8995,2
20.17814,20.17814,0
20.34068,20.34068,2
20.75864,20.75864,1
21.01406,21.01406,2
21.45524,21.45524,3
21.59456,21.59456,2
21.8732,21.8732,1
22.01252,22.01252,0
22.29116,22.29116,0
22.43048,22.43048,2
22.70912,22.70912,0
22.87165,22.87165,3
23.1503,23.1503,3
23.28961,23.28961,3
23.54503,23.54503,1
23.70757,23.70757,3
24.12553,24.12553,2
24.40417,24.40417,2
24.82213,24.82213,2
24.98467,24.98467,2
25.24009,25.24009,3
25.40263,25.40263,3
25.68127,25.68127,2
26.09923,26.09923,1
26.23855,26.23855,2
26.51719,26.51719,3
26.65651,26.65651,0
26.93515,26.93515,1
27.07447,27.07447,0
27.77107,27.77107,2
28.6302,28.6302,2
28.76952,28.76952,1
29.07138,29.07138,2
29.18748,29.18748,1
29.46612,29.46612,1
29.60544,29.60544,2
29.88408,29.88408,1
30.0234,30.0234,1
30.30204,30.30204,1
30.46458,30.46458,0
30.74322,30.74322,3
30.88254,30.88254,0
31.02186,31.02186,3
31.3005,31.3005,1
31.57914,31.57914,1
31.71846,31.71846,1
31.9971,31.9971,1
32.13642,32.13642,2
32.41506,32.41506,0
32.57759,32.57759,2
32.85624,32.85624,2
32.99556,32.99556,1
33.25098,33.25098,1
33.41351,33.41351,1
33.69215,33.69215,2
33.83147,33.83147,0
34.11012,34.11012,0
34.24943,34.24943,3
34.52807,34.52807,1
34.69061,34.69061,0
34.94603,34.94603,2
35.08535,35.08535,1
35.36399,35.36399,2
35.80517,35.80517,0
35.94449,35.94449,1
36.22313,36.22313,0
36.36245,36.36245,2
36.64109,36.64109,2
36.78041,36.78041,3
37.05905,37.05905,0
37.19837,37.19837,3
37.63955,37.63955,2
37.91819,37.91819,0
37.98785,37.98785,3
38.05751,38.05751,3
38.31292,38.31292,2
38.47546,38.47546,3
38.7541,38.7541,1
38.89342,38.89342,2
39.17206,39.17206,1
39.3346,39.3346,3
39.61324,39.61324,1
39.75256,39.75256,3
40.00798,40.00798,3
40.17052,40.17052,2
40.44916,40.44916,1
40.58848,40.58848,1
40.86712,40.86712,3
41.00644,41.00644,2
41.28508,41.28508,3
41.4244,41.4244,2
41.70304,41.70304,2
41.84236,41.84236,1
42.14422,42.14422,1
42.28354,42.28354,2
42.7015,42.7015,1
43.11946,43.11946,0
43.39809,43.39809,0
43.53741,43.53741,0
43.81606,43.81606,3
43.9786,43.9786,3
44.25723,44.25723,3
44.39655,44.39655,3
44.65197,44.65197,2
45.09315,45.09315,0
45.51111,45.51111,0
45.67365,45.67365,0
45.95229,45.95229,3
46.09161,46.09161,0
46.34703,46.34703,0
46.78821,46.78821,3
46.92753,46.92753,1
47.20617,47.20617,3
47.34549,47.34549,3
47.60091,47.60091,3
47.76345,47.76345,0
48.04209,48.04209,1
48.1814,48.1814,0
48.46004,48.46004,2
48.62259,48.62259,1
48.90123,48.90123,3
49.04054,49.04054,1
49.43528,49.43528,0
49.73714,49.73714,1
49.87646,49.87646,0
50.01578,50.01578,2
50.1551,50.1551,0
50.29442,50.29442,2
50.43374,50.43374,2
50.57306,50.57306,0
50.71238,50.71238,3
50.99102,50.99102,3
51.15356,51.15356,3
51.40898,51.40898,0
51.85016,51.85016,1
51.98948,51.98948,0
52.2449,52.2449,0
52.40744,52.40744,1
52.8254,52.8254,1
53.10403,53.10403,0
53.522,53.522,0
53.68454,53.68454,1
53.93995,53.93995,1
54.07927,54.07927,0
54.38113,54.38113,2
54.52045,54.52045,1
54.79909,54.79909,0
54.93841,54.93841,2
55.21705,55.21705,0
55.35637,55.35637,0
55.63501,55.63501,1
55.77433,55.77433,3
56.05297,56.05297,1
56.19229,56.19229,1
56.49415,56.49415,3
56.63347,56.63347,3
56.91211,56.91211,1
57.05143,57.05143,3
57.33007,57.33007,2
57.46939,57.46939,0
57.88735,57.88735,1
58.16599,58.16599,2
58.58395,58.58395,3
58.72327,58.72327,3
59.0019,59.0019,0
59.16444,59.16444,3
59.44308,59.44308,1
59.58241,59.58241,2
59.86104,59.86104,2
60.00036,60.00036,1
60.279,60.279,0
60.41832,60.41832,1
60.69696,60.69696,1
60.83628,60.83628,0
61.25424,61.25424,0
61.53288,61.53288,1
61.97406,61.97406,1
62.11338,62.11338,3
62.39202,62.39202,1
62.53134,62.53134,3
62.80998,62.80998,1
62.9493,62.9493,0
63.22794,63.22794,2
63.36726,63.36726,1
63.6459,63.6459,0
63.80843,63.80843,0
64.06386,64.06386,2
64.20318,64.20318,3
64.64436,64.64436,3
64.923,64.923,3
65.34095,65.34095,0
65.48027,65.48027,3
65.75891,65.75891,1
65.92145,65.92145,1
66.20009,66.20009,1
66.33941,66.33941,2
66.61805,66.61805,2
66.75737,66.75737,3
67.03601,67.03601,1
67.17533,67.17533,0
67.45397,67.45397,3
67.59328,67.59328,1
68.28989,68.28989,0
68.70785,68.70785,1
69.12581,69.12581,0
69.5902,69.5902,3
69.72952,69.72952,0
69.98494,69.98494,1
70.12426,70.12426,3
70.4029,70.4029,3
70.56544,70.56544,0
70.82086,70.82086,2
70.9834,70.9834,2
71.26204,71.26204,1
71.40136,71.40136,3
71.68,71.68,0
71.81932,71.81932,3
72.09796,72.09796,1
72.23728,72.23728,2
72.51591,72.51591,1
72.65524,72.65524,1
72.93388,72.93388,2
73.09642,73.09642,3
73.35184,73.35184,1
73.49116,73.49116,1
73.7698,73.7698,3
73.93233,73.93233,0
74.21098,74.21098,3
74.3503,74.3503,0
74.62894,74.62894,1
74.76826,74.76826,0
75.04689,75.04689,0
75.18621,75.18621,3
75.46485,75.46485,0
75.60417,75.60417,1
75.90603,75.90603,3
76.04535,76.04535,3
76.30077,76.30077,1
