timeToHit,endTime,lane
3.459773,3.459773,2
4.295691,4.295691,0
5.15483,5.15483,2
5.990748,5.990748,1
6.849886,6.849886,3
7.685805,7.685805,0
8.544943,8.544943,3
9.380861,9.380861,0
10.21678,10.21678,0
11.0527,11.0527,2
11.91184,11.91184,1
12.77098,12.77098,1
13.60689,13.60689,3
14.44281,14.44281,3
15.30195,15.30195,0
16.13787,16.13787,3
16.69515,16.69515,1
16.97379,16.97379,0
18.25089,18.25089,3
22.05896,22.05896,2
22.3376,22.3376,1
27.12091,27.12091,3
32.08998,32.08998,3
33.87791,33.87791,0
34.73705,34.73705,0
35.54975,35.54975,2
35.82839,35.82839,3
36.24635,36.24635,1
40.63492,40.63492,3
41.49406,41.49406,2
42.32998,42.32998,2
42.63184,42.63184,1
42.74794,42.74794,0
43.0498,43.0498,3
43.46775,43.46775,0
64.20318,64.20318,2
67.19855,67.19855,2
69.14902,69.14902,2
69.31156,69.31156,2
76.06857,76.06857,2
76.39365,76.39365,1
76.81161,76.81161,2
77.22957,77.22957,1
77.64753,77.64753,1
