timeToHit,endTime,lane
30.34848,30.34848,2
30.51102,30.51102,0
30.90576,30.90576,1
31.32372,31.32372,3
31.62558,31.62558,0
32.04354,32.04354,3
33.87791,33.87791,1
34.71383,34.71383,1
35.54975,35.54975,1
35.85161,35.85161,1
35.99093,35.99093,1
36.26957,36.26957,0
37.10549,37.10549,0
37.24481,37.24481,0
37.68599,37.68599,3
38.10395,38.10395,0
38.38258,38.38258,3
38.80054,38.80054,2
44.00182,44.00182,1
45.69687,45.69687,0
47.39193,47.39193,2
49.08698,49.08698,0
50.78204,50.78204,0
52.4771,52.4771,1
54.14893,54.14893,3
55.84399,55.84399,0
55.96009,55.96009,2
56.05297,56.05297,2
56.23873,56.23873,1
56.37805,56.37805,3
56.54059,56.54059,0
56.70313,56.70313,0
56.84245,56.84245,1
57.02821,57.02821,3
57.16753,57.16753,1
57.53905,57.53905,2
58.09632,58.09632,0
58.51429,58.51429,0
59.18766,59.18766,1
59.74494,59.74494,3
60.1629,60.1629,1
60.8595,60.8595,0
62.55456,62.55456,0
62.8332,62.8332,1
63.22794,63.22794,1
64.923,64.923,0
65.34095,65.34095,3
65.92145,65.92145,0
65.96789,65.96789,2
66.75737,66.75737,1
67.19855,67.19855,3
67.59328,67.59328,0
68.31311,68.31311,1
68.73106,68.73106,1
69.14902,69.14902,3
70.9834,70.9834,0
71.42458,71.42458,1
72.67846,72.67846,1
73.11964,73.11964,3
74.39674,74.39674,0
74.8147,74.8147,3
76.04535,76.04535,3
76.37043,76.37043,2
76.78839,76.78839,1
77.20635,77.20635,0
77.64753,77.64753,3
77.76363,77.76363,3
78.15837,78.15837,0
79.41225,79.41225,1
79.83021,79.83021,2
81.08408,81.08408,1
81.50204,81.50204,0
82.77914,82.77914,3
83.1971,83.1971,3
84.45097,84.45097,1
84.89215,84.89215,0
86.14603,86.14603,2
86.58721,86.58721,2
87.86431,87.86431,2
88.28226,88.28226,2
89.53615,89.53615,1
89.97733,89.97733,3
