timeToHit,endTime,lane
1.137778,1.137778,1
1.416417,1.416417,3
1.695057,1.695057,1
1.950476,1.950476,1
2.229116,2.229116,1
2.507755,2.507755,1
2.786395,2.786395,1
3.041814,3.041814,3
3.204354,3.204354,2
3.343673,3.343673,2
3.599093,3.599093,2
3.877733,3.877733,2
4.133152,4.133152,3
4.295691,4.295691,1
4.435011,4.435011,2
4.690431,4.690431,2
4.96907,4.96907,3
5.22449,5.22449,0
5.38703,5.38703,1
5.503129,5.503129,1
5.781769,5.781769,1
6.060408,6.060408,0
6.315828,6.315828,0
6.478367,6.478367,3
6.617687,6.617687,2
6.873106,6.873106,1
7.151746,7.151746,2
7.407166,7.407166,2
7.569705,7.569705,1
7.685805,7.685805,0
7.964445,7.964445,0
8.243084,8.243084,1
8.498504,8.498504,0
8.661043,8.661043,2
8.777143,8.777143,2
9.055782,9.055782,3
9.334422,9.334422,3
9.589841,9.589841,1
9.752381,9.752381,0
9.891701,9.891701,1
10.14712,10.14712,0
10.33288,10.33288,2
10.63474,10.63474,3
10.84372,10.84372,3
10.98304,10.98304,1
11.23846,11.23846,3
11.5171,11.5171,3
11.77252,11.77252,0
11.93506,11.93506,0
12.05116,12.05116,2
12.3298,12.3298,3
12.60844,12.60844,1
12.86385,12.86385,3
13.02639,13.02639,1
13.14249,13.14249,3
13.42113,13.42113,2
13.69977,13.69977,3
13.95519,13.95519,0
14.11773,14.11773,3
14.23383,14.23383,1
14.51247,14.51247,2
14.79111,14.79111,3
15.04653,15.04653,2
15.20907,15.20907,0
15.32517,15.32517,1
15.60381,15.60381,3
15.88245,15.88245,2
16.13787,16.13787,0
16.30041,16.30041,1
16.41651,16.41651,1
16.69515,16.69515,1
16.97379,16.97379,0
17.22921,17.22921,1
17.39175,17.39175,1
17.50784,17.50784,2
17.78649,17.78649,3
18.06512,18.06512,2
18.32054,18.32054,1
18.48308,18.48308,0
18.6224,18.6224,1
18.87782,18.87782,3
19.06358,19.06358,2
19.34222,19.34222,3
19.69052,19.69052,3
19.85306,19.85306,1
19.96916,19.96916,1
20.10848,20.10848,1
20.2478,20.2478,3
20.52644,20.52644,2
20.64254,20.64254,0
20.78186,20.78186,2
20.9444,20.9444,0
21.0605,21.0605,3
21.19982,21.19982,2
21.47846,21.47846,0
21.59456,21.59456,3
21.73388,21.73388,0
21.89642,21.89642,0
22.01252,22.01252,0
22.17506,22.17506,1
22.29116,22.29116,0
22.43048,22.43048,1
22.6859,22.6859,1
22.82522,22.82522,0
22.98775,22.98775,0
23.38249,23.38249,0
23.52181,23.52181,0
23.80045,23.80045,2
23.91655,23.91655,2
24.05587,24.05587,1
24.33451,24.33451,2
24.47383,24.47383,3
24.61315,24.61315,1
24.75247,24.75247,3
24.86857,24.86857,1
25.00789,25.00789,2
25.14721,25.14721,1
25.28653,25.28653,0
25.44907,25.44907,2
25.56517,25.56517,2
25.70449,25.70449,3
25.95991,25.95991,3
26.09923,26.09923,3
26.26177,26.26177,1
26.65651,26.65651,3
26.79583,26.79583,1
26.93515,26.93515,1
27.07447,27.07447,2
27.19057,27.19057,1
27.35311,27.35311,0
27.74785,27.74785,1
27.86395,27.86395,0
28.16581,28.16581,1
28.30512,28.30512,3
28.42122,28.42122,0
28.58377,28.58377,1
28.69986,28.69986,1
28.83918,28.83918,1
28.9785,28.9785,0
29.23392,29.23392,0
29.37324,29.37324,1
29.51256,29.51256,0
29.7912,29.7912,1
29.93052,29.93052,1
30.20916,30.20916,2
30.32526,30.32526,0
30.46458,30.46458,2
30.6039,30.6039,1
30.74322,30.74322,2
30.88254,30.88254,0
31.02186,31.02186,2
31.16118,31.16118,2
31.4166,31.4166,1
31.55592,31.55592,1
31.69524,31.69524,1
32.1132,32.1132,2
32.2293,32.2293,0
32.50794,32.50794,1
32.64725,32.64725,1
32.78658,32.78658,1
33.06522,33.06522,0
33.20454,33.20454,3
33.34385,33.34385,2
33.48317,33.48317,3
33.59927,33.59927,3
33.73859,33.73859,3
33.87791,33.87791,0
34.01723,34.01723,2
34.27265,34.27265,3
34.43519,34.43519,1
34.57451,34.57451,3
34.69061,34.69061,3
34.82993,34.82993,3
34.99247,34.99247,1
35.36399,35.36399,1
35.52653,35.52653,3
35.66585,35.66585,0
35.78195,35.78195,3
35.92127,35.92127,1
36.06059,36.06059,1
36.45533,36.45533,1
36.59465,36.59465,3
36.87329,36.87329,1
37.03583,37.03583,0
37.15193,37.15193,2
37.29125,37.29125,1
37.43057,37.43057,0
