timeToHit,endTime,lane
2.089796,2.089796,1
2.159456,2.159456,1
2.252336,2.252336,3
2.414875,2.414875,3
2.507755,2.507755,0
2.763175,2.763175,3
2.948934,2.948934,3
3.065034,3.065034,2
3.204354,3.204354,1
3.320453,3.320453,1
3.506213,3.506213,2
3.599093,3.599093,0
3.761633,3.761633,3
4.040272,4.040272,3
4.156372,4.156372,3
4.249252,4.249252,1
4.411791,4.411791,2
4.597551,4.597551,3
4.690431,4.690431,2
4.852971,4.852971,3
4.96907,4.96907,3
5.15483,5.15483,1
5.24771,5.24771,1
5.410249,5.410249,0
5.503129,5.503129,2
5.688889,5.688889,1
5.804989,5.804989,3
5.967528,5.967528,0
6.339047,6.339047,0
6.455147,6.455147,3
6.594467,6.594467,0
6.780227,6.780227,3
6.896327,6.896327,0
7.035646,7.035646,0
7.151746,7.151746,1
7.337506,7.337506,0
7.430386,7.430386,1
7.592925,7.592925,0
7.685805,7.685805,3
7.871564,7.871564,2
7.987664,7.987664,3
8.150204,8.150204,3
8.266304,8.266304,0
8.405623,8.405623,0
8.544943,8.544943,3
8.777143,8.777143,1
8.962902,8.962902,0
9.055782,9.055782,0
9.241542,9.241542,2
9.334422,9.334422,3
9.520182,9.520182,1
9.589841,9.589841,0
9.7756,9.7756,0
9.868481,9.868481,1
10.05424,10.05424,2
10.14712,10.14712,0
10.33288,10.33288,0
10.7044,10.7044,1
10.89016,10.89016,1
10.98304,10.98304,1
11.1688,11.1688,1
11.26168,11.26168,1
11.42422,11.42422,2
11.5171,11.5171,2
11.70286,11.70286,1
11.81896,11.81896,2
11.95828,11.95828,0
12.07438,12.07438,1
12.23692,12.23692,0
12.35302,12.35302,1
12.51556,12.51556,1
12.77098,12.77098,3
12.91029,12.91029,1
13.00317,13.00317,0
13.16571,13.16571,1
13.35147,13.35147,0
13.44435,13.44435,1
13.60689,13.60689,0
13.72299,13.72299,0
13.88553,13.88553,1
14.00163,14.00163,0
14.16417,14.16417,0
14.25705,14.25705,1
14.41959,14.41959,3
14.53569,14.53569,0
14.69823,14.69823,2
15.06975,15.06975,1
15.34839,15.34839,0
15.53415,15.53415,1
15.62703,15.62703,2
15.78957,15.78957,2
15.88245,15.88245,1
16.06821,16.06821,0
16.18431,16.18431,1
16.34685,16.34685,1
16.43973,16.43973,2
16.62549,16.62549,1
16.71837,16.71837,0
16.88091,16.88091,3
17.15955,17.15955,1
17.27565,17.27565,2
17.53106,17.53106,1
17.80971,17.80971,3
18.08834,18.08834,1
18.18122,18.18122,0
18.36698,18.36698,3
18.6224,18.6224,2
18.90104,18.90104,0
19.06358,19.06358,1
19.34222,19.34222,3
19.71374,19.71374,1
19.8995,19.8995,1
20.0156,20.0156,2
20.17814,20.17814,2
20.27102,20.27102,1
20.45678,20.45678,0
20.57288,20.57288,1
20.7122,20.7122,0
20.8283,20.8283,2
20.99084,20.99084,1
21.10694,21.10694,0
21.26948,21.26948,2
21.5249,21.5249,1
21.641,21.641,0
21.89642,21.89642,0
22.05896,22.05896,1
22.17506,22.17506,1
22.3376,22.3376,3
22.43048,22.43048,3
22.59302,22.59302,1
22.73234,22.73234,3
22.89487,22.89487,0
22.98775,22.98775,0
23.1503,23.1503,3
23.26639,23.26639,3
23.40571,23.40571,1
23.80045,23.80045,1
24.05587,24.05587,3
24.24163,24.24163,3
24.35773,24.35773,0
24.52027,24.52027,1
24.61315,24.61315,2
24.79891,24.79891,2
24.89179,24.89179,3
25.07755,25.07755,2
25.17043,25.17043,1
25.33297,25.33297,0
25.44907,25.44907,2
25.61161,25.61161,3
25.86703,25.86703,1
25.98313,25.98313,0
26.14567,26.14567,3
26.26177,26.26177,0
26.42431,26.42431,1
26.51719,26.51719,1
26.70295,26.70295,0
26.79583,26.79583,0
26.95837,26.95837,0
27.07447,27.07447,0
27.23701,27.23701,1
27.32989,27.32989,1
27.49243,27.49243,3
27.60853,27.60853,3
27.77107,27.77107,1
28.16581,28.16581,0
28.42122,28.42122,0
28.60698,28.60698,1
28.72308,28.72308,1
28.88562,28.88562,0
28.9785,28.9785,2
29.16426,29.16426,3
29.41968,29.41968,3
29.53578,29.53578,1
29.69832,29.69832,0
29.7912,29.7912,1
29.97696,29.97696,3
30.23238,30.23238,0
30.34848,30.34848,3
30.6039,30.6039,0
30.78966,30.78966,0
30.88254,30.88254,3
31.0683,31.0683,2
31.16118,31.16118,0
31.32372,31.32372,2
31.43982,31.43982,3
31.60236,31.60236,3
31.69524,31.69524,2
31.881,31.881,1
31.97388,31.97388,2
32.13642,32.13642,2
32.53115,32.53115,2
32.78658,32.78658,2
32.97234,32.97234,3
33.06522,33.06522,3
33.25098,33.25098,1
33.34385,33.34385,3
33.52961,33.52961,0
33.62249,33.62249,0
33.78503,33.78503,2
33.90113,33.90113,0
34.06367,34.06367,1
34.15656,34.15656,3
34.31909,34.31909,3
34.59773,34.59773,3
34.71383,34.71383,2
34.87637,34.87637,0
34.96925,34.96925,1
35.15501,35.15501,3
35.24789,35.24789,0
35.41043,35.41043,3
35.50331,35.50331,1
35.68907,35.68907,3
35.78195,35.78195,3
35.96771,35.96771,0
36.06059,36.06059,1
36.22313,36.22313,0
36.33923,36.33923,1
36.50177,36.50177,1
36.78041,36.78041,1
37.15193,37.15193,0
37.33769,37.33769,0
37.43057,37.43057,0
37.61633,37.61633,0
37.70921,37.70921,2
37.89497,37.89497,3
38.15039,38.15039,3
38.24327,38.24327,2
38.42902,38.42902,3
38.54512,38.54512,3
38.68444,38.68444,3
38.96309,38.96309,0
39.07919,39.07919,1
39.3346,39.3346,0
39.49714,39.49714,3
39.59002,39.59002,0
39.75256,39.75256,2
39.84544,39.84544,3
40.0312,40.0312,0
40.1473,40.1473,1
40.30984,40.30984,2
40.40272,40.40272,2
40.58848,40.58848,0
40.68136,40.68136,0
40.8439,40.8439,2
41.23864,41.23864,1
41.49406,41.49406,0
41.67982,41.67982,0
41.93524,41.93524,2
42.05134,42.05134,0
