timeToHit,endTime,lane
11.00626,11.00626,2
11.56354,11.56354,0
12.12082,12.12082,1
12.7942,12.7942,2
13.21215,13.21215,0
13.74621,13.74621,1
14.30349,14.30349,2
14.97687,14.97687,0
15.39483,15.39483,2
15.92889,15.92889,2
16.48617,16.48617,2
17.15955,17.15955,0
17.57751,17.57751,2
18.11156,18.11156,0
18.64562,18.64562,0
19.34222,19.34222,0
19.69052,19.69052,1
19.85306,19.85306,2
19.99238,19.99238,2
20.1317,20.1317,1
20.27102,20.27102,1
20.64254,20.64254,3
20.80508,20.80508,2
20.96762,20.96762,1
21.19982,21.19982,0
22.82522,22.82522,2
22.98775,22.98775,3
23.12708,23.12708,3
23.38249,23.38249,1
23.68435,23.68435,3
23.82367,23.82367,2
23.93977,23.93977,2
24.07909,24.07909,2
24.21841,24.21841,3
24.61315,24.61315,2
24.77569,24.77569,0
25.17043,25.17043,2
25.30975,25.30975,2
25.51873,25.51873,2
25.98313,25.98313,1
26.26177,26.26177,1
26.40109,26.40109,3
26.65651,26.65651,1
26.93515,26.93515,3
27.09769,27.09769,3
27.21379,27.21379,3
27.49243,27.49243,1
27.60853,27.60853,1
27.77107,27.77107,2
30.18594,30.18594,1
30.62712,30.62712,0
30.76644,30.76644,2
30.88254,30.88254,2
31.04508,31.04508,1
31.55592,31.55592,3
31.71846,31.71846,1
31.85778,31.85778,3
32.1132,32.1132,1
34.69061,34.69061,2
34.99247,34.99247,3
35.13179,35.13179,3
35.27111,35.27111,2
35.38721,35.38721,3
35.66585,35.66585,0
35.94449,35.94449,3
36.22313,36.22313,1
36.33923,36.33923,0
36.50177,36.50177,2
37.15193,37.15193,2
37.70921,37.70921,3
38.24327,38.24327,3
38.66122,38.66122,0
39.3346,39.3346,3
39.89188,39.89188,0
40.42594,40.42594,2
40.8439,40.8439,2
41.51728,41.51728,2
42.07456,42.07456,1
42.60862,42.60862,2
43.02658,43.02658,1
43.69995,43.69995,2
44.23401,44.23401,3
44.79129,44.79129,3
45.20925,45.20925,2
45.88263,45.88263,1
46.16127,46.16127,3
46.43991,46.43991,3
46.71855,46.71855,3
46.97397,46.97397,2
47.25261,47.25261,0
47.53125,47.53125,1
47.80989,47.80989,0
48.06531,48.06531,3
48.34394,48.34394,0
48.62259,48.62259,3
48.90123,48.90123,2
49.15664,49.15664,0
49.43528,49.43528,1
49.6907,49.6907,1
49.99256,49.99256,0
50.24798,50.24798,1
50.52662,50.52662,3
50.78204,50.78204,1
51.0839,51.0839,0
51.33932,51.33932,1
51.61796,51.61796,1
51.87338,51.87338,1
52.17524,52.17524,3
52.43066,52.43066,1
52.7093,52.7093,1
52.98794,52.98794,3
53.26657,53.26657,3
53.522,53.522,3
53.80064,53.80064,2
54.05605,54.05605,0
54.35791,54.35791,3
54.61333,54.61333,0
54.77587,54.77587,2
54.89197,54.89197,3
55.03129,55.03129,2
55.17061,55.17061,0
55.56535,55.56535,3
55.70467,55.70467,3
55.86721,55.86721,0
56.12263,56.12263,3
57.74803,57.74803,3
57.91057,57.91057,0
58.04988,58.04988,0
58.28209,58.28209,1
60.88272,60.88272,2
61.18458,61.18458,0
61.3239,61.3239,0
61.46322,61.46322,0
61.57932,61.57932,3
61.71864,61.71864,1
61.83474,61.83474,0
61.99728,61.99728,2
62.11338,62.11338,2
62.27592,62.27592,2
62.39202,62.39202,2
62.53134,62.53134,3
62.67066,62.67066,0
63.34404,63.34404,2
63.48336,63.48336,2
63.62268,63.62268,3
63.762,63.762,3
63.90131,63.90131,0
64.29605,64.29605,0
64.43537,64.43537,2
64.57469,64.57469,1
64.85333,64.85333,3
66.45551,66.45551,1
66.61805,66.61805,3
66.75737,66.75737,3
67.01279,67.01279,3
69.61343,69.61343,3
70.03138,70.03138,3
70.31002,70.31002,2
70.44934,70.44934,1
70.56544,70.56544,2
70.72798,70.72798,3
70.84408,70.84408,1
71.00662,71.00662,2
71.12272,71.12272,1
71.26204,71.26204,0
71.42458,71.42458,2
72.05152,72.05152,2
72.35338,72.35338,3
72.6088,72.6088,0
72.88744,72.88744,1
73.16608,73.16608,0
73.44472,73.44472,3
73.70013,73.70013,1
73.97878,73.97878,1
74.1181,74.1181,3
74.39674,74.39674,0
75.74349,75.74349,2
76.02213,76.02213,1
76.30077,76.30077,0
78.46023,78.46023,3
79.01751,79.01751,3
79.55157,79.55157,1
82.1522,82.1522,1
82.29152,82.29152,0
82.57016,82.57016,1
82.70948,82.70948,1
82.8488,82.8488,0
82.98812,82.98812,2
84.33488,84.33488,0
84.4742,84.4742,0
84.75284,84.75284,2
84.89215,84.89215,1
85.03147,85.03147,2
85.17079,85.17079,0
87.33025,87.33025,2
87.60889,87.60889,1
88.00363,88.00363,3
88.42159,88.42159,2
88.83955,88.83955,2
89.1414,89.1414,1
98.24363,98.24363,3
98.52227,98.52227,1
98.8009,98.8009,1
98.94022,98.94022,1
99.07954,99.07954,3
99.21886,99.21886,1
99.35818,99.35818,1
99.49751,99.49751,1
99.63683,99.63683,2
99.75292,99.75292,0
100.0316,100.0316,2
100.4263,100.4263,2
100.7049,100.7049,2
100.9836,100.9836,2
101.1229,101.1229,2
101.2622,101.2622,1
101.4015,101.4015,3
101.5409,101.5409,3
101.657,101.657,1
101.8195,101.8195,1
101.9356,101.9356,3
102.2142,102.2142,3
106.1384,106.1384,2
106.3009,106.3009,1
106.4635,106.4635,0
